"CO_UNIDADE";"CO_EQUIPAMENTO";"CO_TIPO_EQUIPAMENTO";"QT_EXISTENTE";"QT_USO";"TP_SUS";"QT_SUS";"TO_CHAR(DT_ATUALIZACAO,'DD/MM/YYYY')";"CO_USUARIO";"TO_CHAR(DT_ATUALIZACAO_ORIGEM,'DD/MM/YYYY')"
"2927400705136";"05";"1 ";"1";"1";"1";"";"08/07/2021";"JAMILE";""
"2927407871368";"13";"1 ";"1";"1";"2";"";"04/09/2019";"JOLIVER";""
"2927400705136";"15";"1 ";"1";"1";"1";"";"08/07/2021";"JAMILE";""
"2927407871368";"21";"2 ";"1";"1";"2";"";"04/09/2019";"JOLIVER";""
"2927402549107";"21";"2 ";"1";"1";"2";"";"03/07/2025";"ROSELY";""
"2927400705136";"21";"2 ";"1";"1";"1";"";"08/07/2021";"JAMILE";""
"2927400705136";"22";"2 ";"1";"1";"1";"";"08/07/2021";"JAMILE";""
"2927402549107";"23";"2 ";"1";"1";"2";"";"03/07/2025";"SESAB";""
"2927402549107";"34";"3 ";"17";"17";"2";"";"03/07/2025";"SAYONARA";""
"2927400667110";"34";"3 ";"1";"1";"2";"";"19/05/2021";"CNESGERAL";""
"2927402549107";"36";"3 ";"3";"3";"2";"";"03/07/2025";"JOLIVER";""
"2927402549107";"37";"3 ";"5";"5";"2";"";"03/07/2025";"JOLIVER";""
"2927400667110";"37";"3 ";"1";"1";"2";"";"19/05/2021";"CNESGERAL";""
"2927402549107";"38";"3 ";"5";"5";"2";"";"03/07/2025";"JOLIVER";""
"2927400667110";"38";"3 ";"1";"1";"2";"";"19/05/2021";"CNESGERAL";""
"2927402549107";"39";"3 ";"2";"2";"2";"";"03/07/2025";"JOLIVER";""
"2927400667110";"39";"3 ";"2";"2";"2";"";"19/05/2021";"CNESGERAL";""
"2927402549107";"40";"3 ";"1";"1";"2";"";"03/07/2025";"JOLIVER";""
"2927400667110";"40";"3 ";"1";"1";"2";"";"19/05/2021";"CNESGERAL";""
"2927400705136";"41";"4 ";"1";"1";"1";"";"08/07/2021";"JAMILE";""
